name,team,position,rating,number,age,season
peter-gulacsi-fifa-20,rb-leipzig,GK,85,1,30,fifa20
nordi-mukiele-fifa-20,rb-leipzig,RWB,78,22,22,fifa20
lukas-klostermann-fifa-20,rb-leipzig,RCB,81,16,24,fifa20
dayot-upamecano-fifa-20,rb-leipzig,CB,80,5,21,fifa20
marcel-halstenberg-fifa-20,rb-leipzig,LCB,81,23,28,fifa20
angelino-fifa-20,rb-leipzig,LWB,78,3,23,fifa20
marcel-sabitzer-fifa-20,rb-leipzig,RCM,83,7,26,fifa20
konrad-laimer-fifa-20,rb-leipzig,CM,80,27,23,fifa20
christopher-nkunku-fifa-20,rb-leipzig,LCM,80,18,22,fifa20
patrik-schick-fifa-20,rb-leipzig,RS,78,21,24,fifa20
timo-werner-fifa-20,rb-leipzig,LS,86,11,24,fifa20
emil-forsberg-fifa-20,rb-leipzig,CAM,81,10,28,fifa20
yussuf-poulsen-fifa-20,rb-leipzig,ST,80,9,26,fifa20
anton-rucker-fifa-20,rb-leipzig,CB,58,38,19,fifa20
ibrahima-konate-fifa-20,rb-leipzig,CB,79,6,21,fifa20
willi-orban-fifa-20,rb-leipzig,CB,80,4,27,fifa20
hannes-wolf-fifa-20,rb-leipzig,CAM,74,19,21,fifa20
kevin-kampl-fifa-20,rb-leipzig,CM,81,44,29,fifa20
dani-olmo-fifa-20,rb-leipzig,CAM,80,25,22,fifa20
yvon-mvogo-fifa-20,rb-leipzig,GK,76,28,26,fifa20
ethan-ampadu-fifa-20,rb-leipzig,CB,68,26,19,fifa20
ademola-lookman-fifa-20,rb-leipzig,RM,74,17,22,fifa20
tyler-adams-fifa-20,rb-leipzig,CDM,76,14,21,fifa20
malik-talabidi-fifa-20,rb-leipzig,CB,61,40,19,fifa20
mads-bidstrup-fifa-20,rb-leipzig,CM,62,49,19,fifa20
oliver-bias-fifa-20,rb-leipzig,RM,60,34,19,fifa20
jacob-ruhner-fifa-20,rb-leipzig,LM,58,39,19,fifa20
amadou-haidara-fifa-20,rb-leipzig,CM,75,8,22,fifa20
fabrice-hartmann-fifa-20,rb-leipzig,ST,61,35,19,fifa20
tom-krauss-fifa-20,rb-leipzig,CM,61,53,19,fifa20
frederik-jakel-fifa-20,rb-leipzig,CB,58,37,19,fifa20
philipp-tschauner-fifa-20,rb-leipzig,GK,72,33,34,fifa20
max-winter-fifa-20,rb-leipzig,CM,56,43,19,fifa20
lukas-hradecky-fifa-20,bayer-04-leverkusen,GK,83,1,30,fifa20
jonathan-tah-fifa-20,bayer-04-leverkusen,RCB,81,4,24,fifa20
sven-bender-fifa-20,bayer-04-leverkusen,CB,81,5,31,fifa20
edmond-tapsoba-fifa-20,bayer-04-leverkusen,LCB,76,12,21,fifa20
karim-bellarabi-fifa-20,bayer-04-leverkusen,RM,82,38,30,fifa20
charles-aranguiz-fifa-20,bayer-04-leverkusen,RCM,83,20,31,fifa20
kerem-demirbay-fifa-20,bayer-04-leverkusen,LCM,81,10,27,fifa20
wendell-fifa-20,bayer-04-leverkusen,LM,77,18,26,fifa20
kai-havertz-fifa-20,bayer-04-leverkusen,RF,84,29,21,fifa20
moussa-diaby-fifa-20,bayer-04-leverkusen,LF,78,19,21,fifa20
lucas-alario-fifa-20,bayer-04-leverkusen,ST,79,13,27,fifa20
lars-bender-fifa-20,bayer-04-leverkusen,RB,81,8,31,fifa20
nadiem-amiri-fifa-20,bayer-04-leverkusen,CAM,79,11,23,fifa20
niklas-lomb-fifa-20,bayer-04-leverkusen,GK,68,36,26,fifa20
julian-baumgartlinger-fifa-20,bayer-04-leverkusen,CDM,78,15,32,fifa20
mitchell-weiser-fifa-20,bayer-04-leverkusen,RB,76,23,26,fifa20
kevin-volland-fifa-20,bayer-04-leverkusen,ST,82,31,27,fifa20
paulinho-fifa-20,bayer-04-leverkusen,RM,74,7,20,fifa20
exequiel-palacios-fifa-20,bayer-04-leverkusen,CM,78,25,21,fifa20
leon-bailey-fifa-20,bayer-04-leverkusen,LM,81,9,22,fifa20
ramazan-ozcan-fifa-20,bayer-04-leverkusen,GK,73,28,36,fifa20
daley-sinkgraven-fifa-20,bayer-04-leverkusen,LB,75,22,25,fifa20
aleksandar-dragovic-fifa-20,bayer-04-leverkusen,CB,76,6,29,fifa20
adrian-stanilewicz-fifa-20,bayer-04-leverkusen,CM,64,30,20,fifa20
rafal-gikiewicz-fifa-20,1-fc-union-berlin,GK,76,1,32,fifa20
marvin-friedrich-fifa-20,1-fc-union-berlin,RCB,74,5,24,fifa20
keven-schlotterbeck-fifa-20,1-fc-union-berlin,CB,70,31,23,fifa20
neven-subotic-fifa-20,1-fc-union-berlin,LCB,76,3,31,fifa20
christopher-trimmel-fifa-20,1-fc-union-berlin,RM,73,28,33,fifa20
christian-gentner-fifa-20,1-fc-union-berlin,RCM,74,34,34,fifa20
robert-andrich-fifa-20,1-fc-union-berlin,LCM,72,30,25,fifa20
christopher-lenz-fifa-20,1-fc-union-berlin,LM,69,25,25,fifa20
yunus-malli-fifa-20,1-fc-union-berlin,RF,75,18,28,fifa20
marius-bulter-fifa-20,1-fc-union-berlin,LF,72,15,27,fifa20
sebastian-andersson-fifa-20,1-fc-union-berlin,ST,76,10,29,fifa20
marcus-ingvartsen-fifa-20,1-fc-union-berlin,ST,70,32,24,fifa20
sebastian-polter-fifa-20,1-fc-union-berlin,ST,72,9,29,fifa20
akaki-gogia-fifa-20,1-fc-union-berlin,RW,70,11,28,fifa20
michael-parensen-fifa-20,1-fc-union-berlin,CB,68,29,34,fifa20
felix-kroos-fifa-20,1-fc-union-berlin,CM,70,23,29,fifa20
manuel-schmiedebach-fifa-20,1-fc-union-berlin,CDM,69,24,31,fifa20
